Benchmark,Size_Before,Size_After,Haploid_Time,Z3_Time_Before,Z3_Time_After,Z3_Speedup
/QF_BV/bruttomesso/core/ext_con_060_001_0064.smt2,11931,11931,0.04176772478967905,0.002927812747657299,0.0029092920012772083,0.06553286136709918
/QF_BV/bruttomesso/core/ext_con_032_064_0512.smt2,358780,358588,0.3830277840606868,0.0028151189908385277,0.00287883123382926,0.00729481921083443
/QF_BV/bruttomesso/core/ext_con_024_064_0512.smt2,270188,270044,0.27094179205596447,0.0024459650740027428,0.002845390234142542,0.008933818791454521
/QF_BV/bruttomesso/core/ext_con_024_008_0512.smt2,34297,33399,0.1000228151679039,0.0024239439517259598,0.002744095865637064,0.023586813375511845
/QF_BV/bruttomesso/core/ext_con_044_008_0032.smt2,59133,57543,0.10384971415624022,0.0024474337697029114,0.0029952949844300747,0.022906393002228697
/QF_BV/bruttomesso/core/ext_con_024_008_1024.smt2,34518,33620,0.10106834582984447,0.0024901158176362514,0.0027464358136057854,0.02398613933600037
/QF_BV/bruttomesso/core/ext_con_064_064_1024.smt2,717471,717087,0.9104284383356571,0.002485426142811775,0.002528967335820198,0.0027223900341590986
/QF_BV/bruttomesso/core/ext_con_020_002_0256.smt2,7938,7922,0.033048226963728666,0.0024472251534461975,0.002532707992941141,0.06877911320841933
/QF_BV/bruttomesso/core/ext_con_040_064_0512.smt2,447372,447132,0.5682815131731331,0.00265654269605875,0.0029396042227745056,0.0046506381069548715
/QF_BV/bruttomesso/core/ext_con_028_256_1024.smt2,1280899,1280731,1.6686283121816814,0.0028804708272218704,0.0028357598930597305,0.0017233220117297665
/QF_BV/bruttomesso/core/ext_con_020_001_0016.smt2,4069,4069,0.0331853530369699,0.0026606922037899494,0.0025306669995188713,0.07449576411570187
/QF_BV/bruttomesso/core/ext_con_028_008_0256.smt2,39537,38491,0.09042101493105292,0.0030779088847339153,0.002888341899961233,0.03298606902101034
/QF_BV/bruttomesso/core/ext_con_024_008_0032.smt2,32573,31669,0.10413506487384439,0.0029981560073792934,0.002939724363386631,0.028000578182196444
/QF_BV/bruttomesso/core/ext_con_020_032_0256.smt2,111832,111712,0.12456191377714276,0.0028351093642413616,0.0027916673570871353,0.022261716859404007
/QF_BV/bruttomesso/core/ext_con_020_002_1024.smt2,8104,8088,0.03369774203747511,0.0027173850685358047,0.002898281905800104,0.07425356024326091
/QF_BV/bruttomesso/core/ext_con_040_016_0128.smt2,108976,108736,0.12357368506491184,0.0029602539725601673,0.002959825098514557,0.023395019775684745
/QF_BV/bruttomesso/core/ext_con_008_002_0512.smt2,3440,3448,0.03964473307132721,0.002452195156365633,0.0024610748514533043,0.05823888145936564
/QF_BV/bruttomesso/core/ext_con_064_016_0064.smt2,171052,170668,0.18024805700406432,0.0024452749639749527,0.0025418088771402836,0.013377519329020902
/QF_BV/bruttomesso/core/ext_con_056_002_0256.smt2,21582,21500,0.06937446165829897,0.002621870953589678,0.0025238869711756706,0.03646635845701253
/QF_BV/bruttomesso/core/ext_con_008_032_1024.smt2,46989,45525,0.11530700698494911,0.00260746106505394,0.002501976676285267,0.02213295611268343
/QF_BV/bruttomesso/core/ext_con_012_064_0512.smt2,137300,137228,0.15327237313613296,0.002551788929849863,0.0023527811281383038,0.01639702104658866
/QF_BV/bruttomesso/core/ext_con_060_002_0128.smt2,22675,22525,0.07272700127214193,0.002404683269560337,0.0024652061983942986,0.031980485085540314
/QF_BV/bruttomesso/core/ext_con_036_002_0128.smt2,13747,13717,0.04859636817127466,0.002511207014322281,0.0027116741985082626,0.04894373081365539
/QF_BV/bruttomesso/core/ext_con_020_004_0032.smt2,14164,13951,0.0475813583470881,0.00245058536529541,0.002465604804456234,0.048965715619445946
/QF_BV/bruttomesso/core/ext_con_044_004_0512.smt2,32122,31434,0.0916014900431037,0.002357850782573223,0.002572649158537388,0.025037136548970284
/QF_BV/bruttomesso/core/ext_con_020_064_0256.smt2,223617,223497,0.22460319101810455,0.0024080928415060043,0.0017401082441210747,0.01063911699332506
/QF_BV/bruttomesso/core/ext_con_056_128_0512.smt2,1256698,1256362,1.5522369937971234,0.002952064387500286,0.002775956876575947,0.001898417878913049
/QF_BV/bruttomesso/core/ext_con_048_008_1024.smt2,68286,69800,0.10289051616564393,0.0024641952477395535,0.002780296839773655,0.023319544703542857
/QF_BV/bruttomesso/core/ext_con_044_004_1024.smt2,32433,31745,0.09066525381058455,0.002453295048326254,0.0030324170365929604,0.026183095333582197
/QF_BV/bruttomesso/core/ext_con_056_008_0064.smt2,75690,77436,0.11014804802834988,0.002689243759959936,0.0028523500077426434,0.023798533515793342
/QF_BV/bruttomesso/core/ext_con_040_004_0064.smt2,27987,27367,0.08122029015794396,0.0025847991928458214,0.0023848027922213078,0.030916767168556944
/QF_BV/bruttomesso/core/ext_con_044_001_0512.smt2,9184,9184,0.02901160204783082,0.0023604612797498703,0.002621430903673172,0.07462013785932728
/QF_BV/bruttomesso/core/ext_con_004_016_0256.smt2,12561,12308,0.05373904714360833,0.0025820001028478146,0.0029790950939059258,0.04552335462673246
/QF_BV/bruttomesso/core/ext_con_008_064_0256.smt2,92318,92270,0.11779579194262624,0.002359560690820217,0.0024787350557744503,0.01961812488235013
/QF_BV/bruttomesso/core/ext_con_008_001_0512.smt2,1917,1917,0.029248890932649374,0.0025773700326681137,0.0026919241063296795,0.08069205590160469
/QF_BV/bruttomesso/core/ext_con_024_004_0016.smt2,16635,16365,0.05098826205357909,0.002411422785371542,0.0024045929312705994,0.0451637730564471
/QF_BV/bruttomesso/core/ext_con_008_001_0256.smt2,1907,1907,0.029996308963745832,0.002521707210689783,0.002450454980134964,0.0777182961928429
/QF_BV/bruttomesso/core/ext_con_052_004_0128.smt2,36871,36071,0.09605984203517437,0.0024378537200391293,0.0025328979827463627,0.024726503387531497
/QF_BV/bruttomesso/core/ext_con_044_004_0064.smt2,30739,30051,0.09030755003914237,0.0025652190670371056,0.0025198874063789845,0.027634276434083227
